index,mmd_score,std
1000,0.06183825954794884,0.0006110994047813607
5000,0.04092066437005997,0.0005546195605691892
10000,0.0725213497877121,0.0009321732407495104
15000,0.038526266068220134,0.0004549479599170388
20000,0.05382497906684877,0.0009212039005456241
25000,0.03647622354328632,0.00038981072633937616
30000,0.03735155910253525,0.0005272428923081268
35000,0.03883990682661533,0.0005256401355436806
40000,0.05038569308817386,0.000566667821140751
45000,0.03861285075545312,0.0007677054923601155
50000,0.03813599124550818,0.0006258038454925424
55000,0.03699668943881988,0.0009458319845877157
60000,0.044263323023915294,0.0008595523380935172
65000,0.03674236796796322,0.0005355592102654872
70000,0.039253230392932895,0.0006860479194694852
75000,0.0456681702286005,0.0006538080294529911
80000,0.03670811280608177,0.0005334240929768492
85000,0.039754902198910716,0.0005210123087273437
90000,0.038966762274503706,0.0007406241195287957
95000,0.04859184175729751,0.0010036203441573953
100000,0.035797218978405,0.0006853798917296425
