index,mmd_score,std
1000,0.9653187155723572,0.008620467575986205
5000,0.8428977251052856,0.006711347845270362
10000,1.1131359100341798,0.010767944300813957
15000,0.7695016801357271,0.0039010061018231374
20000,0.967301559448242,0.007102011957241942
25000,0.7751739025115967,0.010563865429022072
30000,0.7578725636005401,0.0055745750250738215
35000,0.7442515790462494,0.005529587957093221
40000,0.8563049197196959,0.007799642638046227
45000,0.7449538409709929,0.0057905962494320725
50000,0.7320349633693695,0.00475662839073511
55000,0.7286990284919739,0.006540802044304344
60000,0.7818150997161866,0.005534637566851936
65000,0.7282291352748871,0.006402616179288725
70000,0.7433013677597046,0.007294322156846352
75000,0.8042381465435028,0.00689479773525056
80000,0.7269562780857086,0.007061163162397144
85000,0.7506099581718445,0.00618344726751708
90000,0.7485470771789551,0.006074977773431903
95000,0.8136257112026215,0.003774521023822831
100000,0.7188648462295533,0.00662852831229802
