index,ssim
1000,0.6784786581993103
5000,0.72613525390625
10000,0.8184452652931213
15000,0.8037752509117126
20000,0.8057652711868286
25000,0.8176450133323669
30000,0.7993640303611755
35000,0.8029859066009521
40000,0.8030161857604979
45000,0.8065735697746277
50000,0.8065634369850159
55000,0.8081287741661072
60000,0.8141409158706665
65000,0.7966431975364685
70000,0.8046875596046448
75000,0.80488121509552
80000,0.7994643449783325
85000,0.8041979670524597
90000,0.7975172996520996
95000,0.7904740571975708
100000,0.8028687238693237
105000,0.7964947819709778
110000,0.801252543926239
115000,0.7980025410652161
120000,0.7999535202980042
125000,0.8026562929153442
130000,0.799645721912384
135000,0.7909386157989502
140000,0.7914314270019531
145000,0.8009518980979919
150000,0.794208288192749
155000,0.7914748191833496
160000,0.7988708615303041
165000,0.8006056547164917
170000,0.7959387898445129
175000,0.8010888099670409
180000,0.7952399253845215
185000,0.790988564491272
190000,0.793152391910553
195000,0.7995405793190002
200000,0.7939239740371704
