index,mmd_score,std
1000,"tensor(1844.4856, device='cuda:2')",19.988946745344336
2000,"tensor(1247.9915, device='cuda:2')",16.049095525836282
3000,"tensor(1104.8566, device='cuda:2')",8.138777939956919
4000,"tensor(1151.2102, device='cuda:2')",22.773612572145904
5000,"tensor(909.3407, device='cuda:2')",5.984534741008337
6000,"tensor(933.6242, device='cuda:2')",8.511166296016638
7000,"tensor(1012.5446, device='cuda:2')",10.542308061221886
8000,"tensor(927.9342, device='cuda:2')",8.521207166174293
9000,"tensor(944.7215, device='cuda:2')",13.533384455005429
10000,"tensor(1072.1456, device='cuda:2')",20.559094194735472
11000,"tensor(1011.9362, device='cuda:2')",12.772681976244385
12000,"tensor(854.7747, device='cuda:2')",10.2205638219659
13000,"tensor(970.8016, device='cuda:2')",13.03769745049869
14000,"tensor(937.8094, device='cuda:2')",10.547083577495474
15000,"tensor(988.1048, device='cuda:2')",15.744472412156213
16000,"tensor(841.0199, device='cuda:2')",12.167279052414427
17000,"tensor(859.1454, device='cuda:2')",9.904315871617493
18000,"tensor(853.8939, device='cuda:2')",11.697060870169793
19000,"tensor(943.2598, device='cuda:2')",13.172909056635394
20000,"tensor(889.1653, device='cuda:2')",16.593209478238087
21000,"tensor(852.1751, device='cuda:2')",9.195391549732404
22000,"tensor(844.3122, device='cuda:2')",6.586125740257772
23000,"tensor(1005.3467, device='cuda:2')",24.385236598998798
24000,"tensor(800.2925, device='cuda:2')",12.028481065074375
25000,"tensor(853.9362, device='cuda:2')",9.322127890905064
26000,"tensor(875.2172, device='cuda:2')",14.325270170951994
27000,"tensor(843.9380, device='cuda:2')",14.052279257964368
28000,"tensor(856.3016, device='cuda:2')",16.553471163377555
29000,"tensor(824.9650, device='cuda:2')",9.565680268125504
30000,"tensor(915.3742, device='cuda:2')",9.920412633662464
31000,"tensor(861.7742, device='cuda:2')",4.554223536388331
32000,"tensor(819.9221, device='cuda:2')",8.50967460705567
33000,"tensor(786.4039, device='cuda:2')",11.488734148762125
34000,"tensor(797.3314, device='cuda:2')",12.604935750665867
35000,"tensor(803.9155, device='cuda:2')",14.088613494099558
36000,"tensor(780.5917, device='cuda:2')",8.33714445016095
37000,"tensor(773.6149, device='cuda:2')",12.369382807182687
38000,"tensor(796.3750, device='cuda:2')",5.406610896700117
39000,"tensor(789.0801, device='cuda:2')",10.295816088629985
40000,"tensor(885.0663, device='cuda:2')",16.762649456510374
41000,"tensor(816.0050, device='cuda:2')",10.1530988687324
42000,"tensor(917.1472, device='cuda:2')",6.798318262825591
43000,"tensor(1273.2091, device='cuda:2')",21.104412957954853
44000,"tensor(817.7538, device='cuda:2')",16.592778126409097
45000,"tensor(858.4496, device='cuda:2')",11.903080861090395
46000,"tensor(812.2248, device='cuda:2')",13.636271646465941
47000,"tensor(782.2429, device='cuda:2')",7.535334710373005
48000,"tensor(845.0393, device='cuda:2')",12.290238573592667
49000,"tensor(824.1111, device='cuda:2')",10.647962274750242
50000,"tensor(785.2626, device='cuda:2')",8.520488918259447
51000,"tensor(794.3354, device='cuda:2')",7.762942776612547
52000,"tensor(886.5635, device='cuda:2')",15.265311530139408
53000,"tensor(913.0715, device='cuda:2')",23.258631998978053
54000,"tensor(835.0557, device='cuda:2')",11.600972278242939
55000,"tensor(792.5126, device='cuda:2')",8.293097199234943
56000,"tensor(873.8243, device='cuda:2')",15.730570163977742
57000,"tensor(859.8997, device='cuda:2')",16.1260209156998
58000,"tensor(951.5197, device='cuda:2')",15.604206777285741
59000,"tensor(880.1547, device='cuda:2')",12.766049371357672
60000,"tensor(868.5562, device='cuda:2')",14.561680796629178
61000,"tensor(819.1976, device='cuda:2')",10.11531038170856
62000,"tensor(798.9581, device='cuda:2')",8.720295071906985
63000,"tensor(812.6832, device='cuda:2')",13.334340811018286
64000,"tensor(802.7805, device='cuda:2')",13.223706985609589
65000,"tensor(765.1577, device='cuda:2')",17.580152465974418
66000,"tensor(777.2789, device='cuda:2')",14.14712374692653
67000,"tensor(860.0587, device='cuda:2')",10.293791576100974
68000,"tensor(882.1907, device='cuda:2')",23.08279538074323
69000,"tensor(808.1184, device='cuda:2')",9.223005222882296
