index,mmd_score,std
1000,0.9049614191055296,0.008131656546662537
5000,1.2281068444252017,0.011547033153310331
10000,0.9389899909496308,0.008254285991263802
15000,0.8771840095520019,0.009872909758450735
20000,0.8061465859413147,0.0079781384555211
25000,0.8218954980373383,0.011404711025254944
30000,0.7709917962551117,0.004790432559087875
35000,0.7858004212379456,0.007982031316775431
40000,0.7631811439990998,0.005677092043948479
45000,0.7655036449432373,0.005538966713959881
50000,0.7187249183654785,0.005825729341616586
55000,0.7686336755752563,0.0059485516160970465
60000,0.7543685913085938,0.00789911750453612
65000,0.7290701508522034,0.00573756216549021
70000,0.7492454767227172,0.006388560402630893
75000,0.7112116813659668,0.006822688384831109
80000,0.7773580014705658,0.00522267543389045
85000,0.7168433010578156,0.005898301422447224
90000,0.7108291685581207,0.007262807831775334
95000,0.7634381413459778,0.0068521201347667956
100000,0.7299444735050201,0.00810125172583057
