index,w_dist,l1_loss,gp_r,gp_h,loss1,loss2,loss3,z_e_l2,z_r_l2
18328,2.8176395893096924,1.2001756429672241,22897.0078125,21229.1953125,15.370841979980469,-0.580493688583374,44126.23828125,0.958907961845398,10.394119262695312
18329,2.549511432647705,1.307839274406433,39398.0,9800.1005859375,15.070901870727539,-0.5786601901054382,49198.03125,1.1085880994796753,10.104963302612305
18330,2.6780569553375244,1.1798794269561768,8730.3701171875,19389.21484375,14.83734130859375,-0.5830792188644409,28119.5234375,1.1215521097183228,9.857852935791016
18331,2.842585563659668,1.2531299591064453,29545.87890625,12257.25390625,15.088796615600586,-0.5792363286018372,41803.12890625,1.001363754272461,9.991717338562012
18332,2.793184280395508,1.2377561330795288,22013.0,33099.97265625,15.039434432983398,-0.5281280279159546,55112.921875,0.8335064649581909,10.17498779296875
18333,2.742253303527832,1.32139253616333,13533.328125,20283.765625,15.1583890914917,-0.5760831832885742,33817.02734375,0.9057920575141907,10.18895149230957
18334,3.037101984024048,1.1473129987716675,13463.2666015625,14565.2822265625,15.826492309570312,-0.6164442300796509,28028.498046875,1.0077557563781738,10.634322166442871
18335,2.951296091079712,1.2389490604400635,15313.212890625,8580.072265625,15.48213005065918,-0.6153961420059204,23893.240234375,1.0024653673171997,10.289420127868652
18336,2.9767508506774902,1.193208932876587,12110.421875,21769.65625,15.559371948242188,-0.6073505878448486,33880.046875,1.0011885166168213,10.388222694396973
18337,2.9204530715942383,1.2221912145614624,15173.509765625,6378.1201171875,15.058146476745605,-0.5995193719863892,21551.609375,0.9332413673400879,9.982260704040527
18338,2.8036317825317383,1.1960206031799316,15532.1474609375,11219.8388671875,15.472390174865723,-0.6023526191711426,26751.98046875,1.0794498920440674,10.393287658691406
18339,2.7011818885803223,1.224879264831543,14081.0849609375,15076.697265625,15.279838562011719,-0.585406482219696,29157.72265625,1.0527827739715576,10.300994873046875
18340,2.6272811889648438,1.2317508459091187,26907.0234375,16517.10546875,14.956798553466797,-0.5727032423019409,43424.03515625,1.041835069656372,10.05593204498291
18341,2.9423558712005615,1.20817232131958,21417.001953125,24381.3671875,15.403030395507812,-0.5783010125160217,45798.28515625,0.9499430060386658,10.302558898925781
18342,2.7310705184936523,1.220348834991455,20263.275390625,14451.091796875,14.72751522064209,-0.5933459997177124,34714.3203125,0.9895775318145752,9.786518096923828
