index,mmd_score,std
1000,1.0286599397659302,0.006156795090465518
5000,1.2451996207237244,0.008874096453347448
10000,1.0922615766525268,0.00552838549003389
15000,0.8202242374420166,0.0072517185331436
20000,1.002836322784424,0.008685909022207908
25000,0.7689074456691742,0.0038145641098820244
30000,0.9887471318244934,0.009731417081803093
35000,0.8122264504432678,0.00419816347038111
40000,0.7745822191238403,0.006819216335733552
45000,0.7403059601783752,0.004460198547293716
50000,0.7374569892883299,0.00781184790368309
55000,0.7560344517230988,0.005517588919822299
60000,0.7779177546501159,0.006809272956798655
65000,0.6990533292293548,0.006567204005287327
70000,0.7164428055286407,0.007079813397131209
