index,l1_loss,d_recon,d_fake,d_real,d_loss,loss1,loss2
691,12.531635284423828,-13759.3671875,-13554.935546875,-27503.61328125,27314.302734375,27332.419921875,-54809.15234375
692,12.63772964477539,-13788.0556640625,-13540.8955078125,-27561.18359375,27328.951171875,27347.689453125,-54916.5625
693,12.613880157470703,-13818.544921875,-13589.712890625,-27616.42578125,27408.2578125,27426.1796875,-54997.3125
694,12.613723754882812,-13836.818359375,-13610.0576171875,-27678.27734375,27446.875,27466.267578125,-55098.71875
695,12.716350555419922,-13836.716796875,-13647.642578125,-27738.40625,27484.359375,27503.474609375,-55227.46484375
696,12.679947853088379,-13856.8916015625,-13702.990234375,-27786.220703125,27559.8828125,27578.666015625,-55345.890625
697,12.743244171142578,-13875.576171875,-13715.2587890625,-27841.357421875,27590.8359375,27610.3046875,-55409.890625
698,12.648237228393555,-13905.337890625,-13719.123046875,-27903.01953125,27624.4609375,27642.884765625,-55546.64453125
699,12.459630966186523,-13939.2861328125,-13759.541015625,-27965.578125,27698.828125,27716.416015625,-55681.953125
700,12.311491966247559,-13973.685546875,-13822.61328125,-28024.56640625,27796.298828125,27813.828125,-55776.9296875
701,12.065389633178711,-14000.8427734375,-13835.9052734375,-28083.271484375,27836.748046875,27854.0859375,-55938.46875
702,11.669710159301758,-14026.6875,-13882.23046875,-28148.00390625,27908.91796875,27925.337890625,-56042.77734375
703,11.3537015914917,-14047.6796875,-13918.103515625,-28207.19921875,27965.783203125,27982.017578125,-56161.92578125
704,11.073545455932617,-14071.5458984375,-13924.212890625,-28265.42578125,27995.7578125,28011.89453125,-56270.56640625
705,10.847044944763184,-14099.359375,-13987.533203125,-28319.40234375,28086.892578125,28101.751953125,-56407.1796875
706,10.653271675109863,-14132.125,-14008.91796875,-28352.556640625,28141.04296875,28156.6640625,-56520.9453125
707,10.62066650390625,-14173.759765625,-14066.533203125,-28425.59765625,28240.29296875,28256.25,-56634.40234375
708,10.626582145690918,-14209.025390625,-14086.4921875,-28502.55859375,28295.517578125,28311.671875,-56775.53515625
709,10.661102294921875,-14232.470703125,-14052.341796875,-28553.236328125,28284.8125,28302.21875,-56817.9921875
710,10.640238761901855,-14237.9326171875,-14104.9755859375,-28615.7109375,28342.908203125,28357.890625,-56909.5390625
711,10.709186553955078,-14237.5546875,-14124.171875,-28677.203125,28361.7265625,28376.9921875,-56985.9375
712,10.688165664672852,-14247.37109375,-14163.2470703125,-28741.51171875,28410.6171875,28425.93359375,-57089.640625
713,10.627609252929688,-14279.75390625,-14174.119140625,-28796.86328125,28453.873046875,28469.240234375,-57234.98046875
714,10.586939811706543,-14319.986328125,-14199.455078125,-28854.71875,28519.44140625,28535.00390625,-57404.69140625
715,10.559898376464844,-14366.72265625,-14201.69140625,-28914.740234375,28568.4140625,28583.400390625,-57537.75
716,10.477558135986328,-14414.9443359375,-14245.53125,-28976.015625,28660.4765625,28675.33984375,-57650.0390625
717,10.399346351623535,-14456.2265625,-14269.376953125,-29041.92578125,28725.603515625,28739.587890625,-57792.984375
718,10.262618064880371,-14499.552734375,-14288.712890625,-29079.34375,28788.265625,28803.7578125,-57889.94140625
719,10.111489295959473,-14541.04296875,-14332.85546875,-29160.78125,28873.8984375,28888.689453125,-58055.30078125
720,9.880908966064453,-14580.37109375,-14356.833984375,-29207.75,28937.205078125,28951.490234375,-58152.5390625
721,9.687398910522461,-14625.08984375,-14417.978515625,-29282.978515625,29043.068359375,29056.6328125,-58310.578125
722,9.443344116210938,-14670.2021484375,-14435.310546875,-29339.4765625,29105.51171875,29118.259765625,-58443.09375
723,9.159012794494629,-14716.1796875,-14466.3447265625,-29399.44140625,29182.5234375,29195.32421875,-58548.8125
724,8.896997451782227,-14752.58203125,-14464.71484375,-29464.1796875,29217.296875,29229.51171875,-58695.83984375
725,8.485359191894531,-14778.33984375,-14485.29296875,-29528.78125,29263.6328125,29275.958984375,-58818.8125
726,8.084516525268555,-14793.998046875,-14529.7666015625,-29580.38671875,29323.765625,29335.8671875,-58870.49609375
727,7.620500564575195,-14809.76953125,-14553.9677734375,-29628.525390625,29363.73828125,29374.203125,-58950.484375
728,6.898980617523193,-14808.0380859375,-14561.837890625,-29697.75390625,29369.875,29379.220703125,-59048.10546875
729,6.531732082366943,-14820.640625,-14601.91015625,-29749.62109375,29422.55078125,29431.744140625,-59194.48046875
730,5.914013385772705,-14858.033203125,-14637.4697265625,-29810.865234375,29495.50390625,29504.681640625,-59314.18359375
731,5.26747465133667,-14895.427734375,-14712.609375,-29873.4765625,29608.037109375,29616.34765625,-59506.140625
732,4.724887847900391,-14939.0869140625,-14735.787109375,-29937.4609375,29674.875,29682.755859375,-59612.0390625
733,4.369259834289551,-14986.46484375,-14762.634765625,-29994.62109375,29749.099609375,29756.30859375,-59762.4296875
734,3.8112378120422363,-15026.837890625,-14786.25,-30050.39453125,29813.087890625,29819.509765625,-59840.3984375
735,3.393031597137451,-15048.453125,-14841.1162109375,-30113.947265625,29889.5703125,29895.919921875,-59985.6328125
736,3.137316942214966,-15075.0908203125,-14851.080078125,-30177.03125,29926.171875,29931.80859375,-60087.890625
737,2.6745481491088867,-15094.212890625,-14850.900390625,-30184.82421875,29945.11328125,29949.89453125,-60116.09375
738,2.3404436111450195,-15101.8232421875,-14925.32421875,-30202.41796875,30027.1484375,30032.013671875,-60115.40234375
739,2.260477066040039,-15091.341796875,-14913.314453125,-30235.087890625,30004.65625,30008.869140625,-59596.7578125
740,1.780290126800537,-15033.3388671875,-14751.318359375,-26729.93359375,29784.65625,29789.46875,-52981.60546875
741,1.5164401531219482,-14665.376953125,-14634.3837890625,-29018.875,29299.76171875,29304.01171875,-57276.53515625
742,1.4774190187454224,-14400.529296875,-14089.421875,-29015.62109375,28489.951171875,28494.53125,-58164.4296875
743,1.4986670017242432,-14761.927734375,-14574.7587890625,-29560.84765625,29336.6875,29341.486328125,-58447.0
744,1.4939491748809814,-14703.8828125,-14470.830078125,-28219.81640625,29174.712890625,29180.5234375,-55664.1796875
745,1.4404075145721436,-14799.0791015625,-14485.962890625,-29205.390625,29285.04296875,29289.048828125,-57588.03125
746,1.425705909729004,-14660.2578125,-13536.7109375,-28805.5625,28196.96875,28201.13671875,-51868.890625
747,1.5355706214904785,-13817.150390625,-13020.76171875,-27402.927734375,26837.912109375,26844.203125,-55292.140625
