index,l1_loss,gp_r,gp_h,loss1,loss2,loss3,z_e_l2,z_r_l2
0,8.269870758056639,887.8289794921875,967.0415649414062,25.65209197998047,-2.5424258708953857,1856.90185546875,1.059295415878296,10.550354957580566
1,6.592693328857423,80.63626861572266,64.77613067626953,96.16436767578124,-1.7721924781799316,147.21322631835938,44.28592300415039,21.543352127075195
2,5.7378458976745605,52.21747589111328,21.291362762451172,98.6439971923828,-1.7324355840682983,74.69084167480469,52.1763916015625,18.210006713867188
3,6.836129188537598,19.95562171936035,19.252758026123047,54.48223495483398,1.0053800344467163,39.01568603515625,16.66109275817871,23.630773544311523
4,6.733121871948242,9.4287748336792,4.267076015472412,62.43917846679688,0.43662720918655396,14.026880264282227,26.88490295410156,15.60549545288086
5,7.030789375305176,42.99072647094727,12.16694450378418,32.565460205078125,-0.9555002450942992,56.119529724121094,6.075594902038574,12.235540390014648
6,5.828456401824951,22.930971145629893,7.095484256744385,33.394775390625,-0.4924429059028626,29.653484344482425,6.377662658691406,15.62554931640625
7,6.140311241149902,16.816722869873047,7.771975517272949,35.12930679321289,-0.3848581910133362,23.54296493530273,8.940187454223633,12.021098136901855
8,5.074688911437988,9.19116497039795,9.289830207824707,30.59610366821289,-0.7230949401855469,18.339820861816406,3.8171353340148926,11.409687995910645
9,3.815397024154663,5.242968559265137,4.167393207550049,27.319721221923828,-0.2902399003505707,9.339447975158693,3.2976093292236333,12.515928268432615
10,4.1891679763793945,4.0410547256469735,4.831587791442871,27.60579872131348,-0.2050500065088272,9.006006240844727,4.923430442810059,12.94403076171875
11,3.4362256526947017,9.147577285766602,7.324795246124268,23.34348297119141,-0.11447401344776155,16.75553321838379,1.9154638051986688,11.985102653503418
12,3.0814311504364014,11.686606407165527,12.51785945892334,22.66658020019531,-0.1743466705083847,24.26247787475586,2.1642100811004643,12.078588485717773
13,2.695908784866333,7.112270832061768,10.513751983642578,22.15645408630371,-0.4240007996559143,17.800132751464844,2.4416627883911133,11.264275550842285
14,2.557125329971313,13.078107833862305,9.442349433898926,23.945106506347656,-0.3302056491374969,22.30776023864746,4.930588722229004,11.33680534362793
15,2.1920948028564453,16.408872604370114,11.110243797302246,21.126161575317386,-0.4244359731674193,27.44846343994141,2.1385600566864014,11.371660232543945
16,2.1528468132019043,17.769662857055664,14.321242332458494,21.964275360107425,-0.3060939610004425,31.88825988769531,1.5311552286148071,11.692410469055176
17,2.0859851837158203,11.385573387145994,6.535441875457764,20.630962371826172,-0.4577234983444214,18.218088150024414,2.0153818130493164,10.793745040893556
18,1.976754069328308,8.671446800231934,4.503692150115967,20.66862297058105,-0.3043985366821289,13.419639587402346,1.785520076751709,10.939947128295898
