d_real_loss,d_recon,d_fake,err_enc
-0.9999784231185913,0.00038609126931987703,5.563313720813312e-07,0.12526297569274902
-0.9999942779541016,2.7922993467655033e-05,3.4843333196477033e-07,0.11910738050937653
-0.9999884366989136,3.434603422647342e-05,1.484054337197449e-07,0.13901907205581665
-5.729923202579812e-08,4.522387087035895e-08,4.536938646992894e-08,0.10615114867687225
-1.1505727570693125e-07,6.506206062795172e-08,2.094137471431168e-06,0.12956197559833527
-7.039719207568851e-08,5.706694139462343e-08,5.7357944172053976e-08,0.12216686457395554
-5.6278803839404645e-08,4.710473078262112e-08,1.9395692163470812e-08,0.10448691248893738
-6.089898363370594e-08,4.378961193651776e-08,3.214590549305285e-08,0.08686723560094833
-4.3365073310042135e-08,4.2701771008069045e-08,4.8586720424736995e-08,0.10597272962331772
-5.5305484636392066e-08,4.687105814582537e-08,3.0514101467815635e-08,0.09867684543132782
-5.862888130536703e-08,4.990936730564499e-08,2.672321031127467e-08,0.09848330169916153
-5.460597662931832e-08,4.7800476465909014e-08,2.0622854535190527e-08,0.103568434715271
-6.091979543043635e-08,4.593749025616489e-08,3.401203230168903e-08,0.13433274626731873
-7.764457166103966e-08,6.388940221313533e-08,3.087341582386216e-08,0.09609830379486084
-5.184195828178417e-08,4.879145620861891e-08,9.011122159563456e-08,0.0903051570057869
-5.2683585494150975e-08,4.895406391369761e-08,2.961858136529827e-08,0.1010894626379013
-6.831695742448574e-08,4.65738416721706e-08,3.7694203314231345e-08,0.10782527923583984
-7.727210515895422e-08,5.412521986158936e-08,4.74459866950383e-08,0.09789615124464035
-5.4795492587800254e-08,4.944753229096932e-08,4.352241944616253e-08,0.10266944766044617
-4.931045438638648e-08,5.2373774650504856e-08,3.3227998130769265e-08,0.06991703063249588
-5.05580359799751e-08,4.6984041546238586e-08,3.491670952371351e-08,0.16686828434467316
-7.508403143674514e-08,4.245257656521062e-08,3.3611676997225004e-08,0.11299136281013489
