index,ssim
1,0.9519547820091248
2,0.7857899069786072
3,0.7911486029624939
4,0.7388606667518616
5,0.7309115529060364
6,0.7132594585418701
7,0.7401207685470581
8,0.7501729130744934
9,0.7457848191261292
10,0.7573146224021912
11,0.7598295211791992
12,0.7664048075675964
13,0.740337073802948
14,0.7704855799674988
15,0.7942266464233398
16,0.7901125550270081
17,0.7907108068466187
18,0.8243895173072815
19,0.8136578798294067
20,0.8182401061058044
21,0.8343720436096191
22,0.8134930729866028
23,0.8259027004241943
24,0.8331199884414673
25,0.8397541046142578
26,0.8361023068428041
27,0.8397552967071533
28,0.8681918978691101
29,0.8738077878952026
30,0.8770414590835571
31,0.8846432566642761
32,0.8815997242927551
33,0.8936049342155457
34,0.8934808969497681
35,0.90093332529068
36,0.9056100845336914
37,0.9123303890228271
38,0.9215437769889832
39,0.9232222437858582
40,0.924818754196167
41,0.9327533841133118
42,0.939799964427948
43,0.938859522342682
44,0.9442071914672852
45,0.9478445649147034
46,0.949691355228424
47,0.9505529999732972
48,0.9547805190086364
49,0.9548208713531494
50,0.9604911208152772
51,0.9597527980804444
52,0.9642742276191713
53,0.9648190140724182
54,0.9652332663536072
55,0.9640394449234008
56,0.9665984511375428
57,0.9650307893753052
58,0.9640567898750304
59,0.9671915769577026
60,0.9665412306785583
61,0.9669941663742064
62,0.9687262177467346
63,0.9710835218429564
64,0.9682899713516236
65,0.9697084426879884
66,0.9701549410820008
67,0.969618022441864
68,0.9700480103492736
69,0.9691130518913268
70,0.9714179635047911
71,0.9679499864578248
72,0.970730185508728
73,0.9722102284431458
74,0.971805989742279
75,0.9726623296737672
76,0.9718948006629944
77,0.9704157114028932
78,0.9703909158706664
79,0.9710069894790648
80,0.9688758850097656
81,0.974326193332672
82,0.9737145304679872
83,0.9707656502723694
84,0.9671831727027892
85,0.9689393043518066
86,0.9713144302368164
87,0.9705203175544742
88,0.9707880020141602
89,0.9714756608009338
90,0.9723607897758484
91,0.972690761089325
92,0.9728021025657654
93,0.9717746376991272
94,0.9714011549949646
95,0.9725854396820068
96,0.9725161790847778
97,0.9720905423164368
98,0.9695457220077516
99,0.9715989828109741
100,0.9709475636482242
101,0.9719615578651428
102,0.969096839427948
103,0.969386875629425
104,0.971637487411499
105,0.969992995262146
106,0.970050573348999
107,0.9719637036323548
108,0.9685276746749878
109,0.9730449914932252
110,0.9722505807876588
111,0.972372829914093
112,0.9703206419944764
113,0.9718308448791504
114,0.9692177772521972
115,0.9709105491638184
116,0.9714316725730896
117,0.9689231514930724
118,0.9723303318023682
119,0.9699301719665528
120,0.967447817325592
121,0.9707562923431396
122,0.9729074835777284
123,0.9707082509994508
124,0.9705211520195008
125,0.9685629606246948
126,0.9689534306526184
127,0.9700292944908142
128,0.9734297394752502
129,0.9696972966194152
130,0.9668682813644408
131,0.9674195051193236
132,0.9689363837242126
133,0.9674534797668456
134,0.9717560410499572
135,0.9706472158432008
136,0.97038471698761
137,0.9681508541107178
138,0.9693782925605774
139,0.9686337113380432
140,0.9706615209579468
141,0.9698624014854432
142,0.9674973487854004
143,0.9693619608879088
144,0.9715020656585692
145,0.9698200821876526
146,0.9688038229942322
147,0.966806173324585
148,0.9699830412864684
149,0.9709628820419312
150,0.9675675630569458
151,0.9711301326751708
152,0.9716290235519408
153,0.9704385995864868
154,0.9696989655494692
155,0.9682020545005798
156,0.969242513179779
157,0.9691280126571656
158,0.9713125824928284
159,0.9693344831466676
160,0.9699303507804872
161,0.9696649312973022
162,0.970591962337494
163,0.9697585701942444
164,0.971396028995514
165,0.9692751169204712
166,0.9687581658363342
167,0.9694702029228208
168,0.9691340923309326
169,0.9684415459632874
170,0.972369909286499
171,0.9680644869804382
172,0.9695919156074524
173,0.9698983430862428
174,0.9688661098480223
175,0.9700986742973328
176,0.9677286744117736
177,0.9673964977264404
178,0.970733404159546
179,0.9688405990600586
180,0.9702244400978088
181,0.9682024717330932
182,0.9715659618377686
183,0.9705331325531006
184,0.9704702496528624
185,0.9707215428352356
186,0.9699879884719848
187,0.967987596988678
188,0.9690901637077332
189,0.9674379825592041
190,0.9714695811271667
191,0.9678259491920472
192,0.9707405567169192
193,0.967909038066864
194,0.9687361121177672
195,0.9699218869209292
196,0.9682920575141908
197,0.9687448143959044
198,0.9683127403259276
199,0.9686592221260072
200,0.968675434589386
201,0.9696874618530272
202,0.9665537476539612
203,0.9667371511459352
204,0.9694985151290894
205,0.9675029516220092
206,0.9700023531913756
207,0.9695838093757628
208,0.9672995209693908
209,0.9693742990493774
210,0.9700986742973328
211,0.9693174958229064
212,0.9682824611663818
213,0.9691938161849976
214,0.9672031998634338
215,0.968820333480835
216,0.9695501327514648
217,0.9690130949020386
218,0.9694693088531494
219,0.9665801525115968
220,0.9680300951004028
221,0.9678229689598083
222,0.9701579213142396
223,0.9684082865715028
224,0.9671239852905272
225,0.9666427969932556
226,0.9668156504631042
227,0.9672749042510986
228,0.9679701328277588
229,0.9697861671447754
230,0.9680122137069702
231,0.9687674641609192
232,0.967110514640808
233,0.9696657061576844
234,0.966068685054779
235,0.967942476272583
236,0.967581868171692
237,0.9671519994735718
238,0.9683123826980592
239,0.9657102227211
240,0.9658233523368835
241,0.9678828120231628
242,0.9675239324569702
243,0.9648305773735046
244,0.9650045037269592
245,0.9684277176856996
246,0.9675294160842896
247,0.9686239957809448
248,0.9663005471229552
249,0.967410445213318
250,0.9677154421806335
251,0.9685721397399902
252,0.968417763710022
253,0.9679434895515442
254,0.9659513831138612
255,0.9662628769874572
256,0.9672574400901794
257,0.9689719080924988
258,0.966613233089447
259,0.967509925365448
260,0.9665545225143432
261,0.966854989528656
262,0.9686845541000366
263,0.9681072831153872
264,0.9680846929550172
265,0.9676555395126344
266,0.9665828347206116
267,0.9649025797843932
268,0.9687864184379578
269,0.9683114290237428
270,0.9681531190872192
271,0.9666065573692322
272,0.968137502670288
273,0.9658110737800598
274,0.9683225750923156
275,0.9670102596282959
276,0.9677399992942808
277,0.9684193134307858
278,0.9690069556236268
279,0.966249704360962
280,0.9679205417633056
281,0.967057168483734
282,0.9657365679740906
283,0.967912495136261
284,0.966105580329895
285,0.9670355319976808
286,0.9680641293525696
287,0.9680179357528688
288,0.9681718945503236
289,0.967245876789093
290,0.9687851071357728
291,0.9653690457344056
292,0.9668093919754028
293,0.9665718674659728
294,0.966739535331726
295,0.967642903327942
296,0.9670587778091432
297,0.9656550288200378
298,0.9664106369018556
299,0.9662856459617615
