index,l1_loss,d_recon,d_fake,d_real,d_loss,cd_loss,loss1,loss2
88,1.8220500946044922,-627.1625366210938,-605.1228637695312,-1269.5677490234375,1232.285400390625,-13.925131797790527,1220.1822509765625,-2514.169189453125
89,1.7959198951721191,-634.4883422851562,-624.1112060546875,-1301.06640625,1258.599609375,-13.732442855834961,1246.6630859375,-2567.4560546875
90,1.846015214920044,-648.0623779296875,-634.3969116210938,-1315.29443359375,1282.459228515625,-14.482950210571289,1269.8223876953125,-2600.519775390625
91,1.93381667137146,-661.444580078125,-644.7154541015625,-1343.704345703125,1306.1600341796875,-13.850961685180664,1294.242919921875,-2654.26220703125
92,1.9886283874511719,-667.805908203125,-646.4631958007812,-1342.70458984375,1314.26904296875,-14.190752029418945,1302.06689453125,-2669.9140625
93,1.9264171123504639,-674.9270629882812,-662.408935546875,-1383.9232177734375,1337.3359375,-14.533387184143066,1324.7288818359375,-2727.4443359375
94,1.7993320226669312,-685.0191650390625,-679.012939453125,-1411.875244140625,1364.0321044921875,-14.563716888427734,1351.2677001953125,-2772.57763671875
95,1.804473638534546,-696.03857421875,-691.46435546875,-1422.5877685546875,1387.5029296875,-14.762370109558105,1374.5450439453125,-2815.142333984375
96,2.1808018684387207,-705.8697509765625,-699.918212890625,-1443.33251953125,1405.7879638671875,-15.175564765930176,1392.793212890625,-2845.130126953125
97,2.155921220779419,-712.2330932617188,-700.08154296875,-1464.4029541015625,1412.314697265625,-16.11125946044922,1398.359375,-2906.287841796875
98,2.0849978923797607,-728.8135986328125,-721.6246948242188,-1484.833740234375,1450.438232421875,-15.238384246826172,1437.2847900390625,-2925.97802734375
99,2.0724217891693115,-734.4741821289062,-718.5855712890625,-1496.043212890625,1453.059814453125,-15.361454963684082,1439.770751953125,-2948.46435546875
100,1.873354196548462,-754.2821044921875,-750.5914306640625,-1533.4305419921875,1504.87353515625,-15.512916564941406,1491.2340087890625,-3028.7529296875
101,1.9745177030563354,-765.672119140625,-749.5882568359375,-1555.6988525390625,1515.2603759765625,-17.18175506591797,1500.0531005859375,-3075.70703125
102,1.9639277458190918,-776.114013671875,-756.98779296875,-1523.960693359375,1533.101806640625,-16.021242141723633,1519.04443359375,-3067.82470703125
103,1.8911707401275635,-790.3095703125,-777.5774536132812,-1601.0037841796875,1567.886962890625,-16.035879135131836,1553.7421875,-3167.28759765625
104,1.8552541732788086,-801.3955078125,-793.9059448242188,-1602.71826171875,1595.301513671875,-16.7694149017334,1580.3873291015625,-3185.512451171875
105,1.805715799331665,-815.4326171875,-802.8438110351562,-1636.9161376953125,1618.2763671875,-17.358497619628906,1602.7235107421875,-3260.19580078125
106,1.8811005353927612,-827.4171142578125,-815.1747436523438,-1666.518310546875,1642.591796875,-17.55896759033203,1626.9139404296875,-3317.282470703125
107,1.8675225973129272,-838.3253784179688,-830.04296875,-1678.1060791015625,1668.368408203125,-18.551483154296875,1651.6844482421875,-3348.782470703125
108,2.0520527362823486,-850.80029296875,-841.1806030273438,-1697.1602783203125,1691.98095703125,-18.309669494628906,1675.7232666015625,-3387.7626953125
109,2.0428783893585205,-862.219970703125,-853.124267578125,-1740.2603759765625,1715.34423828125,-18.46201515197754,1698.925048828125,-3463.5205078125
110,2.029085636138916,-875.094970703125,-863.1236572265625,-1758.0367431640625,1738.2186279296875,-17.92954444885254,1722.318115234375,-3502.72412109375
111,2.0953590869903564,-887.2108154296875,-873.5575561523438,-1788.6405029296875,1760.768310546875,-17.702377319335938,1745.1612548828125,-3556.86474609375
112,2.1816084384918213,-896.8619384765625,-892.474609375,-1787.5347900390625,1789.3365478515625,-19.20047950744629,1772.3177490234375,-3580.1982421875
113,2.0914158821105957,-911.0325927734375,-898.980712890625,-1839.9224853515625,1810.0133056640625,-18.84084701538086,1793.263916015625,-3653.098388671875
114,2.1419289112091064,-922.4918823242188,-915.255859375,-1850.395751953125,1837.747802734375,-18.168794631958008,1821.720947265625,-3693.41259765625
115,2.0481133460998535,-933.6904907226562,-923.4312744140625,-1871.6102294921875,1857.121826171875,-18.574386596679688,1840.5955810546875,-3741.78857421875
116,2.1513071060180664,-943.9560546875,-945.0631103515625,-1892.619140625,1889.0191650390625,-18.771371841430664,1872.399169921875,-3784.380126953125
117,2.3426573276519775,-959.8131713867188,-948.037353515625,-1928.177734375,1907.8505859375,-20.63247299194336,1889.560791015625,-3847.87451171875
118,2.262343406677246,-972.27001953125,-966.2796630859375,-1950.1123046875,1938.5496826171875,-18.758098602294922,1922.053955078125,-3900.043701171875
119,2.1060757637023926,-981.9478149414062,-975.6826782226562,-1978.463623046875,1957.6304931640625,-19.12455177307129,1940.612060546875,-3942.9775390625
120,2.419799327850342,-1000.260009765625,-988.2086181640625,-1992.72021484375,1988.4686279296875,-19.36151885986328,1971.52685546875,-3988.865234375
121,2.351806879043579,-1009.7381591796875,-1004.544677734375,-2022.271728515625,2014.2828369140625,-19.354602813720703,1997.280029296875,-4020.4072265625
122,2.263237953186035,-1023.7479858398438,-1010.4530029296875,-2039.405029296875,2034.200927734375,-20.471832275390625,2015.9923095703125,-4079.74365234375
123,2.5760011672973633,-1035.838134765625,-1024.9864501953125,-2067.2705078125,2060.82470703125,-20.68042755126953,2042.72021484375,-4135.9931640625
124,2.303485631942749,-1049.082763671875,-1041.0347900390625,-2097.835205078125,2090.11767578125,-20.60138511657715,2071.81982421875,-4184.18310546875
125,2.494136333465576,-1065.85693359375,-1047.136474609375,-2123.201171875,2112.993408203125,-22.16769027709961,2093.31982421875,-4245.142578125
126,2.3462154865264893,-1081.405517578125,-1064.228271484375,-2143.921142578125,2145.6337890625,-21.298059463500977,2126.681884765625,-4291.6025390625
127,2.339768886566162,-1090.655517578125,-1072.090576171875,-2158.1806640625,2162.74609375,-20.876968383789062,2144.208984375,-4314.75
128,2.573791742324829,-1104.5992431640625,-1090.127197265625,-2194.2421875,2194.7265625,-20.783096313476562,2176.51708984375,-4386.40576171875
129,2.367001533508301,-1117.29248046875,-1098.7808837890625,-2206.16552734375,2216.0732421875,-23.077674865722656,2195.362548828125,-4426.8974609375
130,2.5725533962249756,-1131.443359375,-1116.6142578125,-2239.48828125,2248.0576171875,-21.502304077148438,2229.1279296875,-4491.08203125
131,2.530496597290039,-1143.31591796875,-1126.89892578125,-2268.728515625,2270.21484375,-21.727176666259766,2251.01806640625,-4541.5654296875
