index,ssim
1000,0.7943618893623352
1000,0.7942597270011902
5000,0.8777053356170654
10000,0.86296147108078
15000,0.8418358564376831
20000,0.8612473011016846
25000,0.8506399393081665
30000,0.8116479516029358
35000,0.8146405816078186
40000,0.8193259835243225
45000,0.8188304901123047
50000,0.8136923313140869
55000,0.8209356069564819
60000,0.8134179115295409
65000,0.8270354866981506
70000,0.8254541158676147
75000,0.8211020827293396
80000,0.8159063458442688
85000,0.8174943327903748
90000,0.8421736359596252
95000,0.8133283853530884
100000,0.8321500420570374
105000,0.812143862247467
110000,0.8241844773292542
115000,0.8191068172454834
120000,0.8169623613357544
125000,0.8157347440719604
130000,0.8249718546867371
135000,0.8238083124160767
140000,0.8169521689414978
145000,0.8345766663551331
150000,0.8199673891067505
155000,0.8207598924636841
160000,0.8198649883270264
165000,0.8329940438270569
170000,0.8393869400024414
175000,0.8255198001861572
180000,0.8308804631233215
185000,0.8220260143280029
190000,0.8312764763832092
195000,0.8361396789550781
200000,0.8265489339828491
